state_name,crop_year,season,crop,area_,production_,yield_,rainfall_mm
Andaman and Nicobar Islands,2000,Kharif,Arecanut,4354.0,7200.0,1.6536518144235186,1244.1999999999998
Andaman and Nicobar Islands,2000,Kharif,Other Kharif pulses,670.0,449.0,0.6701492537313433,1244.1999999999998
Andaman and Nicobar Islands,2000,Kharif,Rice,10881.0,32184.0,2.957816377171216,1244.1999999999998
Andaman and Nicobar Islands,2000,Whole Year,Banana,1707.0,12714.0,7.448154657293498,2763.1
Andaman and Nicobar Islands,2000,Whole Year,Cashewnut,800.0,219.0,0.27375,2763.1
Andaman and Nicobar Islands,2000,Whole Year,Coconut,25160.0,89000000.0,3537.3608903020668,2763.1
Andaman and Nicobar Islands,2000,Whole Year,Dry ginger,388.0,1220.0,3.1443298969072164,2763.1
Andaman and Nicobar Islands,2000,Whole Year,Sugarcane,142.0,3738.0,26.323943661971832,2763.1
Andaman and Nicobar Islands,2000,Whole Year,Sweet potato,83.0,858.0,10.337349397590362,2763.1
Andaman and Nicobar Islands,2000,Whole Year,Tapioca,200.0,2277.0,11.385,2763.1
Andaman and Nicobar Islands,2000,Whole Year,other oilseeds,133.0,55.0,0.41353383458646614,2763.1
Andaman and Nicobar Islands,2001,Kharif,Arecanut,4354.0,7300.0,1.6766192007349563,1515.4
Andaman and Nicobar Islands,2001,Kharif,Other Kharif pulses,420.0,200.0,0.47619047619047616,1515.4
Andaman and Nicobar Islands,2001,Kharif,Rice,9801.0,27333.0,2.7887970615243343,1515.4
Andaman and Nicobar Islands,2001,Whole Year,Cashewnut,800.0,225.0,0.28125,3080.8
Andaman and Nicobar Islands,2001,Whole Year,Coconut,25205.0,89680000.0,3558.0242015473123,3080.8
Andaman and Nicobar Islands,2001,Whole Year,Dry ginger,390.0,1224.0,3.1384615384615384,3080.8
Andaman and Nicobar Islands,2001,Whole Year,Sugarcane,82.0,2380.0,29.024390243902438,3080.8
Andaman and Nicobar Islands,2001,Whole Year,Sweet potato,111.0,38.0,0.34234234234234234,3080.8
Andaman and Nicobar Islands,2002,Kharif,Rice,10885.0,32111.66,2.9500836012861735,1525.5
Andaman and Nicobar Islands,2002,Whole Year,Arecanut,4363.0,7350.0,1.6846206738482696,2620.1
Andaman and Nicobar Islands,2002,Whole Year,Banana,1737.0,12160.0,7.0005757052389175,2620.1
Andaman and Nicobar Islands,2002,Whole Year,Black pepper,550.0,116.0,0.2109090909090909,2620.1
Andaman and Nicobar Islands,2002,Whole Year,Cashewnut,800.0,232.0,0.29,2620.1
Andaman and Nicobar Islands,2002,Whole Year,Coconut,25300.0,94320000.0,3728.0632411067195,2620.1
Andaman and Nicobar Islands,2002,Whole Year,Dry chillies,652.0,49.7,0.07622699386503068,2620.1
Andaman and Nicobar Islands,2002,Whole Year,Dry ginger,399.3,1278.0,3.2006010518407213,2620.1
Andaman and Nicobar Islands,2002,Whole Year,Sugarcane,460.0,13800.0,30.0,2620.1
Andaman and Nicobar Islands,2002,Whole Year,other oilseeds,85.1,40.31,0.47367802585193897,2620.1
Andaman and Nicobar Islands,2003,Kharif,Rice,10561.37,30850.87,2.9211049324093366,1406.1
Andaman and Nicobar Islands,2003,Whole Year,Arecanut,4379.0,6707.0,1.5316282256222882,2355.7
Andaman and Nicobar Islands,2003,Whole Year,Banana,1796.0,13321.0,7.417037861915367,2355.7
Andaman and Nicobar Islands,2003,Whole Year,Black pepper,572.5,120.23,0.21000873362445416,2355.7
Andaman and Nicobar Islands,2003,Whole Year,Cashewnut,833.5,234.64,0.2815116976604679,2355.7
Andaman and Nicobar Islands,2003,Whole Year,Coconut,25394.74,95240000.0,3750.3829533202543,2355.7
Andaman and Nicobar Islands,2003,Whole Year,Dry chillies,400.0,680.0,1.7,2355.7
Andaman and Nicobar Islands,2003,Whole Year,Dry ginger,508.0,1625.6,3.1999999999999997,2355.7
Andaman and Nicobar Islands,2003,Whole Year,Sugarcane,268.0,2879.52,10.7444776119403,2355.7
Andaman and Nicobar Islands,2003,Whole Year,other oilseeds,86.29,35.809999999999995,0.4149959439100706,2355.7
Andaman and Nicobar Islands,2004,Kharif,Rice,10734.92,29192.23,2.71937098739441,1392.2
Andaman and Nicobar Islands,2004,Whole Year,Arecanut,4425.37,4781.05,1.0803729405676814,2460.0
Andaman and Nicobar Islands,2004,Whole Year,Banana,1978.52,17778.52,8.985767139073651,2460.0
Andaman and Nicobar Islands,2004,Whole Year,Black pepper,655.0,120.22,0.18354198473282443,2460.0
Andaman and Nicobar Islands,2004,Whole Year,Cashewnut,800.0,223.0,0.27875,2460.0
Andaman and Nicobar Islands,2004,Whole Year,Coconut,25551.4,87130000.0,3409.989276517138,2460.0
Andaman and Nicobar Islands,2004,Whole Year,Dry chillies,400.0,968.0,2.42,2460.0
Andaman and Nicobar Islands,2004,Whole Year,Dry ginger,528.0,1828.0,3.462121212121212,2460.0
Andaman and Nicobar Islands,2004,Whole Year,Sugarcane,145.26,1560.0,10.739363899215201,2460.0
Andaman and Nicobar Islands,2004,Whole Year,other oilseeds,90.3,46.61,0.5161683277962348,2460.0
Andaman and Nicobar Islands,2005,Kharif,Rice,8685.47,25883.04,2.980039076756929,1700.3000000000002
Andaman and Nicobar Islands,2005,Whole Year,Arecanut,3250.78,3058.46,0.9408388140692387,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Banana,1678.8,10833.13,6.4529008815820825,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Black pepper,697.45,36.050000000000004,0.05168829306760341,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Cashewnut,568.5,86.02,0.15131046613896218,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Coconut,20927.02,78460000.0,3749.2199080423297,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Dry chillies,370.7,877.6,2.3674130024278393,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Dry ginger,200.0,1800.0,9.0,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Sugarcane,128.02,2448.2,19.123574441493513,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Sweet potato,131.9,700.35,5.309704321455648,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Tapioca,254.5,1480.0,5.81532416502947,2954.5
Andaman and Nicobar Islands,2005,Whole Year,Turmeric,91.7,642.0,7.001090512540894,2954.5
Andaman and Nicobar Islands,2005,Whole Year,other oilseeds,53.55,34.2,0.638655462184874,2954.5
Andaman and Nicobar Islands,2006,Kharif,Rice,7776.17,21535.26,2.769391615666838,1314.8000000000002
Andaman and Nicobar Islands,2006,Whole Year,Arecanut,4056.0,5839.299999999999,1.4396696252465482,2404.7
Andaman and Nicobar Islands,2006,Whole Year,Banana,1638.5700000000002,13708.0,8.36583118206729,2404.7
Andaman and Nicobar Islands,2006,Whole Year,Black pepper,610.26,212.0,0.34739291449546095,2404.7
Andaman and Nicobar Islands,2006,Whole Year,Cashewnut,570.0,155.13,0.2721578947368421,2404.7
